"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Mokka 1.4 T Cosmo","42 000","108 000 km","Benzyna+LPG","Automatyczna","2016","Mazowieckie"
"Opel Astra V 1.4 T GPF Dynamic S&S","44 900","100 000 km","Benzyna","Manualna","2017","Śląskie"
"Opel Crossland X 1.2 T Elite S&S","49 900","60 000 km","Benzyna","Manualna","2019","Lubelskie"
"Opel Zafira 1.4 T Cosmo EU6","36 900","119 000 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Insignia 1.5 T GPF Exclusive S&S","44 900","108 000 km","Benzyna","Automatyczna","2018","Wielkopolskie"
"Opel Insignia","35 000","160 819 km","Diesel","Automatyczna","2014","Wielkopolskie"
"Opel Insignia 2.0 T Sport","20 500","208 147 km","Benzyna","Manualna","2010","Dolnośląskie"
"Opel Astra 2.0 Turbo Caravan Sport","9 999","240 000 km","Benzyna","Manualna","2004","Śląskie"
"Opel Mokka 1.4 T Cosmo S&S EU6","49 900","112 000 km","Benzyna","Manualna","2017","Śląskie"
"Opel Corsa 1.4 Turbo (ecoFLEX) Start/Stop Color Edition","31 500","80 000 km","Benzyna","Manualna","2017","Śląskie"
"Opel Mokka","36 900","106 111 km","Benzyna","Manualna","2015","Wielkopolskie"
"Opel Astra 1.4 Turbo Innovation","46 300","78 968 km","Benzyna","Manualna","2017","Podlaskie"
"Opel Mokka 1.7 CDTI Cosmo S&S 4x4","35 500","123 600 km","Diesel","Manualna","2013","Wielkopolskie"
"Opel Corsa 1.2 16V EcoFLEX Edition 111 Jahre","13 400","38 600 km","Benzyna","Manualna","2010","Łódzkie"
"Opel Insignia 2.0 CDTI Business Elegance S&S","83 900","65 321 km","Diesel","Automatyczna","2021","Śląskie"
"Opel Astra 1.6","26 999","72 300 km","Benzyna+LPG","Manualna","2010","Podkarpackie"
"Opel Insignia","38 000","178 742 km","Benzyna+LPG","Manualna","2015","Śląskie"
"Opel Astra","55 900","63 500 km","Benzyna","Manualna","2015","Śląskie"
"Opel Astra IV 1.4 Enjoy","14 900","97 000 km","Benzyna","Manualna","2011","Wielkopolskie"
"Opel Astra 1.4 Turbo ecoFLEX Start/Stop Edition","28 900","130 000 km","Benzyna","Manualna","2014","Warmińsko-mazurskie"
"Opel Insignia 1.6 CDTI Exclusive S&S","29 999","112 000 km","Diesel","Manualna","2015","Opolskie"
"Opel Astra","49 900","157 000 km","Benzyna","Manualna","2016","Śląskie"
